base_mission_id,category,difficulty_index,failure,baseline_held_out_probability_failure,augmented_held_out_probability_failure,dose_can_do,dose_no_human_review,dose_requires_tool_access
sbov1-data_reconciliation-05,data_reconciliation,15.1113256,True,0.30622765596651197,0.3187654484754702,3,2,3
sbov1-data_reconciliation-06,data_reconciliation,15.68649445,True,0.5359179852418989,0.4940509473182688,3,1,3
sbov1-data_reconciliation-07,data_reconciliation,15.11224486,True,0.36255397430040465,0.4292081972390867,3,3,3
sbov1-data_reconciliation-08,data_reconciliation,15.10001583,True,0.3910162731431968,0.3723190217903279,3,1,3
sbov1-data_reconciliation-09,data_reconciliation,15.11224486,True,0.3904549422723894,0.29084747341600226,3,0,3
sbov1-data_reconciliation-11,data_reconciliation,15.3580201,True,0.42401601339082606,0.41068968078572266,2,1,3
sbov1-data_reconciliation-12,data_reconciliation,14.98154101,True,0.2769689272490024,0.228260368633258,3,0,3
sbov1-draft_generation-04,draft_generation,15.90874572,False,0.37148122027958563,0.35235451666449363,2,0,3
sbov1-draft_generation-07,draft_generation,15.87297694,True,0.3324734556786111,0.24319165103519158,1,0,3
sbov1-draft_generation-08,draft_generation,15.84881387,False,0.4489709572314385,0.4763886899071014,3,0,1
sbov1-draft_generation-09,draft_generation,15.87297694,False,0.4367813006096921,0.37440485463057205,2,0,3
sbov1-draft_generation-10,draft_generation,15.86168753,False,0.4339332998070088,0.4134895210010722,3,1,3
sbov1-draft_generation-11,draft_generation,15.87798304,False,0.4565571284808699,0.5385442040663925,3,3,3
sbov1-draft_generation-12,draft_generation,15.83697407,False,0.4458982802783247,0.43514858992090166,2,0,2
sbov1-escalation_preparation-05,escalation_preparation,14.04181854,False,0.09413340405820138,0.09003316718480693,1,0,2
sbov1-escalation_preparation-06,escalation_preparation,14.04181854,False,0.13523341138911626,0.11811878350967964,2,0,3
sbov1-escalation_preparation-07,escalation_preparation,14.02835536,False,0.13363653080025564,0.1167227282011725,2,0,3
sbov1-escalation_preparation-08,escalation_preparation,14.04181854,False,0.12588881143170744,0.08260953263775375,1,0,3
sbov1-escalation_preparation-09,escalation_preparation,14.01011777,False,0.11247003117557432,0.13221219705329237,3,2,3
sbov1-escalation_preparation-10,escalation_preparation,14.00704557,False,0.1235644666415288,0.08853063099161912,3,0,3
sbov1-escalation_preparation-12,escalation_preparation,14.03486026,False,0.12508626608927234,0.021409149404825217,1,0,2
sbov1-exception_handling-04,exception_handling,15.11267127,False,0.25569019613718724,0.24444142218961082,2,1,2
sbov1-exception_handling-05,exception_handling,15.03297238,False,0.21815407267609344,0.337953170914579,3,0,3
sbov1-exception_handling-06,exception_handling,15.07997797,False,0.2505839898132376,0.2454160387237563,1,0,3
sbov1-exception_handling-07,exception_handling,15.11267127,False,0.20950823405806315,0.19351601381740174,3,1,3
sbov1-exception_handling-09,exception_handling,15.08660023,False,0.20483201563621806,0.16599158129894484,3,0,3
sbov1-exception_handling-10,exception_handling,15.08819483,False,0.25216016724765905,0.32494424129372307,2,2,3
sbov1-exception_handling-12,exception_handling,15.11182207,False,0.2555243765212004,0.25988996850995283,2,1,3
sbov1-followup_scheduling-04,followup_scheduling,16.13408497,False,0.5925800226392602,0.6179650169848744,2,2,3
sbov1-followup_scheduling-06,followup_scheduling,16.18411631,False,0.6260814601226335,0.6866966762460689,3,3,3
sbov1-followup_scheduling-07,followup_scheduling,16.13408497,False,0.6454986305353931,0.7129082337610513,3,3,3
sbov1-followup_scheduling-08,followup_scheduling,16.13788053,True,0.6146376290882022,0.6766968105093735,3,3,3
sbov1-followup_scheduling-09,followup_scheduling,16.16677492,True,0.6006536146645106,0.5973392535857301,3,2,3
sbov1-followup_scheduling-11,followup_scheduling,16.41324748,True,0.6595142280748962,0.5720634099990295,1,0,3
sbov1-followup_scheduling-12,followup_scheduling,16.44247107,True,0.6430073503244577,0.691294780535886,3,3,3
sbov1-information_retrieval-04,information_retrieval,14.07529835,False,0.12345283196167732,0.13137324972115047,2,2,3
sbov1-information_retrieval-05,information_retrieval,14.07529835,False,0.13823814763339254,0.12114986516555248,3,1,3
sbov1-information_retrieval-06,information_retrieval,14.07529835,False,0.09653456586593252,0.11222171187455013,2,2,3
sbov1-information_retrieval-08,information_retrieval,14.04513733,False,0.12006750606104165,0.15101295563356001,3,3,3
sbov1-information_retrieval-09,information_retrieval,14.07529835,False,0.13823814763339254,0.13503964287224596,2,1,3
