okz2,okz_name,employed_persons,share,respondents
83,Водители и операторы подвижного оборудования,6687463.504394593,0.08983028580838694,48195
52,Продавцы,5158605.549899037,0.06929368819966554,35807
24,Специалисты в сфере бизнеса и администрирования,5033104.044844734,0.06760787173711552,32689
23,Специалисты в области образования,4976657.018569027,0.06684963918750264,35202
72,"Рабочие, занятые в металлообрабатывающем и машиностроительном производстве, механики и ремонтники",3873206.07978238,0.05202738062241296,25531
21,Специалисты в области науки и техники,3818533.1031276477,0.05129297824165044,21643
26,"Специалисты в области права, гуманитарных областей и культуры",3694337.356592657,0.04962470156244422,22428
31,Специалисты-техники в области науки и техники,3597016.071714814,0.048317419835961356,23633
51,Работники сферы индивидуальных услуг,3379517.007448558,0.04539583333410527,22554
33,Средний специальный персонал по экономической и административной деятельности,3227263.6312411665,0.04335066863286777,19674
32,Средний медицинский персонал здравоохранения,3056626.188077808,0.041058557389359075,20945
96,Неквалифицированные работники по сбору мусора и другие неквалифицированные работники,2433097.508884349,0.032682921481235326,19895
71,"Рабочие, занятые в строительстве, и рабочие родственных занятий (за исключением электриков)",2412726.22863329,0.032409281419344474,16250
54,"Работники служб, осуществляющих охрану граждан и собственности",2203560.7713985583,0.029599637255710437,16021
22,Специалисты в области здравоохранения,2053585.5214304654,0.027585073802771237,12014
81,Операторы промышленных установок и стационарного оборудования,1883203.600022148,0.025296394890858904,13649
75,"Рабочие пищевой, деревообрабатывающей, текстильной и швейной промышленности и рабочие родственных занятий",1641285.8587651674,0.022046801106167094,11454
25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376418.98831613,0.018488939944311826,7057
13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240.292293415,0.015047783896638762,7624
74,Рабочие в области электротехники и электроники,1113574.2307069406,0.014958241095076437,7169
43,Служащие в сфере обработки числовой информации и учета материальных ценностей,1081450.9436131709,0.014526740562947636,7006
93,"Неквалифицированные рабочие, занятые в горнодобывающей промышленности, строительстве, обрабатывающей промышленности и на транспорте",1020327.7651939213,0.013705694947773803,7289
91,Уборщики и прислуга,1019966.0422726886,0.013700836054207292,8584
34,"Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий",919166.4576517354,0.012346831581522453,5907
14,"Руководители в гостиничном и ресторанном бизнесе, розничной и оптовой торговле и родственных сферах обслуживания",871112.3130839911,0.011701337585486237,5789
61,"Квалифицированные работники сельского хозяйства, производящие товарную продукцию",865205.1945644101,0.011621989392472658,6440
11,"Руководители высшего звена, высшие должностные лица и законодатели",843058.6179080763,0.011324502414127507,5974
53,"Работники, оказывающие услуги по индивидуальному уходу",710861.8701215262,0.0095487511702065,5666
12,Управляющие в корпоративном секторе и в других организациях,672495.0132771444,0.009033383016999316,4545
42,Служащие сферы обслуживания населения,585622.0833355042,0.007866450274780787,3490
63,"Квалифицированные работники сельского хозяйства, рыболовства, охотники и сборщики урожая, производящие продукцию для личного потребления",573420.759100988,0.0077025542860389975,5962
41,Служащие общего профиля и обслуживающие офисную технику,529960.0705445546,0.007118762528239022,3485
44,Другие офисные служащие,487501.61042706645,0.006548433343663795,3752
82,Сборщики,427487.63497030095,0.005742287251915244,2820
73,"Рабочие, занятые изготовлением прецизионных инструментов и приборов, рабочие художественных промыслов и полиграфического производства",311003.0450621379,0.004177591759095459,1852
35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),259807.57340350485,0.003489901448984897,1319
92,"Неквалифицированные рабочие сельского и лесного хозяйства, рыбоводства и рыболовства",253581.26538839654,0.0034062656985750918,2393
94,Помощники в приготовлении пищи,153242.6894071375,0.0020584537887112153,1240
62,Товарные производители лесной и рыбной продукции и охотники,109832.47769826543,0.0014753400682029814,1207
95,"Уличные торговцы и другие неквалифицированные работники, оказывающие различные уличные услуги",10406.992863970883,0.0001397933824628744,78
