onet_id,onet_title,okz2,okz_name,group_employed,group_share
11-1011.00,Chief Executives,11,"Руководители высшего звена, высшие должностные лица и законодатели",843059,0.011325
11-1011.03,Chief Sustainability Officers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-1021.00,General and Operations Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-1031.00,Legislators,11,"Руководители высшего звена, высшие должностные лица и законодатели",843059,0.011325
11-2011.00,Advertising and Promotions Managers,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
11-2021.00,Marketing Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-2022.00,Sales Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-2032.00,Public Relations Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-2033.00,Fundraising Managers,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
11-3012.00,Administrative Services Managers,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
11-3013.00,Facilities Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3013.01,Security Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3021.00,Computer and Information Systems Managers,35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),259808,0.003490
11-3031.00,Financial Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3031.01,Treasurers and Controllers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3031.03,Investment Fund Managers,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
11-3051.00,Industrial Production Managers,21,Специалисты в области науки и техники,3818533,0.051293
11-3051.01,Quality Control Systems Managers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
11-3051.02,Geothermal Production Managers,21,Специалисты в области науки и техники,3818533,0.051293
11-3051.03,Biofuels Production Managers,13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-3051.04,Biomass Power Plant Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3051.06,Hydroelectric Production Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3061.00,Purchasing Managers,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
11-3071.00,"Transportation, Storage, and Distribution Managers",13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-3071.04,Supply Chain Managers,13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-3111.00,Compensation and Benefits Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3121.00,Human Resources Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-3131.00,Training and Development Managers,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",61,"Квалифицированные работники сельского хозяйства, производящие товарную продукцию",865205,0.011622
11-9021.00,Construction Managers,31,Специалисты-техники в области науки и техники,3597016,0.048317
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-9032.00,"Education Administrators, Kindergarten through Secondary",13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-9033.00,"Education Administrators, Postsecondary",13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-9039.00,"Education Administrators, All Other",23,Специалисты в области образования,4976657,0.066850
11-9041.00,Architectural and Engineering Managers,13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,21,Специалисты в области науки и техники,3818533,0.051293
11-9051.00,Food Service Managers,34,"Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий",919166,0.012347
11-9071.00,Gambling Managers,14,"Руководители в гостиничном и ресторанном бизнесе, розничной и оптовой торговле и родственных сферах обслуживания",871112,0.011701
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",14,"Руководители в гостиничном и ресторанном бизнесе, розничной и оптовой торговле и родственных сферах обслуживания",871112,0.011701
11-9081.00,Lodging Managers,51,Работники сферы индивидуальных услуг,3379517,0.045396
11-9111.00,Medical and Health Services Managers,13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-9121.00,Natural Sciences Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-9121.01,Clinical Research Coordinators,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-9121.02,Water Resource Specialists,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
11-9141.00,"Property, Real Estate, and Community Association Managers",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
11-9151.00,Social and Community Service Managers,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
11-9161.00,Emergency Management Directors,13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-9171.00,Funeral Home Managers,51,Работники сферы индивидуальных услуг,3379517,0.045396
11-9179.01,Fitness and Wellness Coordinators,14,"Руководители в гостиничном и ресторанном бизнесе, розничной и оптовой торговле и родственных сферах обслуживания",871112,0.011701
11-9179.02,Spa Managers,14,"Руководители в гостиничном и ресторанном бизнесе, розничной и оптовой торговле и родственных сферах обслуживания",871112,0.011701
11-9199.00,"Managers, All Other",13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
11-9199.01,Regulatory Affairs Managers,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
11-9199.02,Compliance Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
11-9199.08,Loss Prevention Managers,54,"Работники служб, осуществляющих охрану граждан и собственности",2203561,0.029600
11-9199.09,Wind Energy Operations Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
